id,index,middle,ring,little,thumb
533,572,541,547,503,441
534,572,543,553,534,442
535,568,546,553,536,440
536,562,554,550,539,441
537,563,537,553,539,440
538,571,533,554,549,443
539,555,554,546,525,428
540,563,548,551,529,432
541,566,546,550,536,437
542,565,545,551,528,438
543,560,547,549,534,435
544,566,525,560,561,449
545,556,535,556,542,438
546,577,545,557,525,435
547,567,546,559,533,434
548,573,546,551,534,439
549,570,546,554,535,440
550,572,546,553,540,438
551,574,551,541,525,443
552,578,542,544,541,446
553,572,550,551,542,437
554,568,544,551,537,437
555,567,543,553,533,437
556,565,547,553,527,437
557,568,545,552,544,436
558,559,550,554,509,434
559,572,559,544,523,429
560,565,548,555,540,446
561,567,544,553,534,440
562,566,544,551,533,441
563,573,547,554,539,434
564,567,527,551,551,458
565,576,549,545,553,427
566,559,539,528,537,423
567,568,551,549,527,440
568,564,545,553,534,439
569,566,544,551,528,438
570,562,538,563,549,431
571,570,563,556,495,418
572,562,557,549,545,422
573,558,564,549,526,431
574,568,552,556,544,440
575,566,547,552,532,442
576,569,548,554,534,441
577,561,554,560,513,426
578,572,552,555,542,430
579,568,554,549,511,430
580,578,542,544,525,445
581,563,548,552,528,436
582,565,545,554,531,436
583,570,544,551,528,434
584,561,540,553,531,449
585,560,540,544,535,438
586,557,549,564,540,446
587,570,551,558,532,442
588,561,544,554,532,445
589,566,548,555,534,442
590,566,545,555,525,439
591,570,558,544,512,432
592,569,552,552,543,437
593,552,559,563,510,447
594,566,549,548,509,444
595,566,549,549,529,434
596,561,544,550,529,438
597,553,549,561,528,436
598,562,523,553,537,444
599,579,530,551,532,445
600,561,538,565,528,445
601,566,548,557,542,440
602,565,547,553,534,441
603,570,546,553,536,439
604,562,538,553,556,445
605,564,544,563,535,430
606,559,540,549,541,458
607,564,553,557,516,435
608,566,544,550,537,438
609,566,546,551,528,439
610,565,541,552,531,438
611,577,536,539,548,449
612,545,547,560,539,444
613,561,538,551,541,454
614,560,539,544,525,432
615,568,546,551,531,444
616,567,546,553,535,441
617,570,554,551,538,449
618,562,555,561,520,426
619,560,537,557,551,443
620,570,533,560,526,451
621,562,539,548,523,432
622,564,543,553,526,437
623,564,544,552,529,439
624,567,552,549,534,440
625,558,536,549,532,439
626,543,543,561,549,441
627,570,540,552,545,440
628,565,544,552,529,439
629,566,543,555,531,442
630,566,547,554,535,438
631,577,559,552,533,427
632,566,555,551,524,437
633,557,563,550,524,443
634,553,537,553,547,443
635,566,544,550,529,441
636,565,541,552,528,440
637,575,547,551,529,443
638,573,545,550,535,441
639,583,535,543,555,452
640,562,523,559,548,444
641,564,562,565,528,443
642,564,548,553,532,440
643,566,547,551,531,443
644,562,546,556,543,443
645,552,557,562,516,434
646,566,530,558,543,448
647,566,555,555,508,425
648,568,546,555,524,444
649,565,547,551,531,438
650,565,546,551,530,439
651,562,541,558,519,446
652,564,563,545,530,435
653,558,541,556,515,435
654,571,542,544,562,445
655,567,546,552,524,440
656,563,547,550,528,439
657,567,547,553,535,441
658,566,554,551,522,437
659,552,557,545,493,421
660,569,543,552,539,450
661,567,553,547,542,433
662,566,543,552,525,436
663,566,544,553,527,437
664,564,547,552,531,436
665,559,539,559,522,438
666,558,546,563,534,447
667,567,532,553,537,443
668,560,550,562,520,436
669,562,542,554,536,436
670,563,546,555,532,436
671,563,545,548,542,445
672,550,541,559,531,441
673,569,549,568,518,430
674,557,548,568,536,442
675,556,545,549,535,435
676,566,545,549,528,435
677,565,544,552,530,434
678,578,545,554,520,430
679,566,544,561,528,431
680,564,535,550,556,430
681,566,545,557,541,435
682,568,545,550,540,442
683,563,548,552,534,440
684,565,547,554,538,437
685,572,544,544,528,434
686,565,556,558,542,437
687,562,541,562,554,449
688,572,534,550,528,442
689,566,543,552,529,437
690,563,547,551,528,438
691,561,537,552,527,439
692,564,554,557,520,440
693,580,536,540,538,457
694,552,548,550,539,432
695,573,552,555,517,447
696,567,544,553,530,440
697,566,546,555,533,439
698,555,546,547,528,433
699,561,542,562,548,435
700,570,542,555,540,443
701,571,556,555,541,435
702,572,542,550,521,442
703,567,544,551,528,434
704,564,543,554,532,438
705,555,552,550,540,426
706,556,546,560,534,429
707,570,551,545,530,424
708,563,538,553,534,435
709,566,545,552,537,442
710,569,548,552,535,437
711,565,547,555,535,440
712,555,547,558,538,448
713,571,556,553,522,442
714,571,553,553,527,426
715,558,529,556,547,438
716,564,547,551,535,435
717,564,546,552,531,434
718,565,541,550,531,434
719,555,545,556,538,434
720,566,554,556,517,425
721,557,554,562,513,432
722,571,544,549,532,434
723,566,545,552,532,435
724,565,545,555,530,437
725,563,549,557,530,440
726,570,557,551,524,417
727,571,548,557,508,435
728,562,548,559,512,430
729,556,538,553,539,433
730,564,542,552,528,437
731,563,545,553,532,433
732,579,538,544,537,431
733,569,557,552,501,426
734,569,549,558,505,419
735,565,534,555,537,436
736,568,550,552,524,439
737,564,545,554,534,437
738,568,545,554,532,439
739,569,548,555,524,422
740,563,540,553,525,438
741,571,553,545,549,437
742,555,542,547,528,432
743,563,545,548,527,434
744,563,543,554,536,433
745,562,541,554,527,428
746,561,551,563,520,432
747,555,549,562,524,433
748,564,541,558,533,443
749,567,550,555,526,436
750,560,543,552,532,440
751,564,546,553,535,437
752,571,544,552,534,440
753,565,537,562,547,438
754,566,537,553,542,438
755,564,553,555,523,429
756,566,542,546,530,438
757,565,545,551,533,437
758,564,543,551,530,434
759,564,540,548,549,440
760,554,548,566,528,447
761,566,541,544,545,437
762,564,540,562,538,434
763,565,546,556,532,437
764,563,542,553,534,437
765,560,541,553,536,436
766,570,548,543,547,440
767,576,551,547,527,423
768,574,538,534,530,431
769,575,547,552,513,426
770,563,544,551,528,434
771,566,544,552,531,434
772,568,546,551,532,437
773,573,535,550,536,444
774,552,542,564,518,438
775,569,536,550,550,445
776,566,545,552,535,438
777,565,544,552,533,440
778,565,545,554,535,439
779,568,551,559,535,441
780,562,540,555,547,446
781,576,545,556,519,434
782,559,535,557,558,445
783,561,543,551,544,435
784,562,544,552,532,437
785,563,543,552,530,434
786,558,552,554,513,439
787,574,556,551,499,423
788,555,531,552,561,451
789,564,543,552,517,435
790,565,546,553,529,437
791,564,546,549,533,435
792,564,540,556,533,438
793,568,544,550,529,437
794,572,546,555,534,445
795,570,533,549,555,442
796,567,545,539,531,433
797,562,545,552,532,434
798,565,544,552,525,436
799,558,544,552,527,433
800,559,544,554,525,429
801,560,536,554,527,431
802,562,536,554,529,436
803,561,541,551,529,432
804,564,545,553,535,436
805,566,547,554,535,436
806,564,557,557,529,435
807,575,550,554,509,425
808,570,548,551,532,440
809,565,548,538,535,437
810,565,540,549,523,437
811,565,546,553,525,435
812,563,544,551,528,434
813,553,542,564,528,429
814,564,545,555,524,425
815,568,543,551,512,439
816,563,548,558,538,436
817,564,546,558,538,439
818,564,546,552,530,439
819,560,549,554,537,436
820,568,554,546,516,426
821,563,541,545,543,455
822,565,555,556,531,434
